# KSW Arabic — FULL master glossary / جدول المصطلحات العربية الكامل
# راجع عمود proposed_ar وعدّله مباشرة حيث تريد صيغة مختلفة، ثم أعد الملف.
# status: changed = قرار مُدار | matched-core = مطابق لترجمة Odoo الرسمية
#         changed (auto) = تنظيف تلقائي (إزالة تشكيل/توحيد مفهوم) | unchanged = يبقى كما هو
# source: labour-law/ksa-hr/sap-oracle/odoo-core/unify/auto/keep-current
# ملاحظة: العبارات الطويلة (تلميحات/مساعدة/رسائل) تُعالَج آلياً ولا تظهر هنا.
term_en,current_ar,proposed_ar,status,source,modules,note
My Team,فريقي,فريقي,matched-core,odoo-core,attendance_sheet,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Name,الاسم,الاسم,matched-core,odoo-core,"commissions,deduction,working_schedule",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Nationality (Country),الجنسية (البلد),الجنسية (البلد),matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Next Activity Calendar Event,حدث التقويم للنشاط التالي,الفعالية التالية في تقويم الأنشطة,matched-core,odoo-core,"commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Next Activity Deadline,الموعد النهائي للنشاط التالي,الموعد النهائي للنشاط التالي,matched-core,odoo-core,"commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Next Activity Summary,ملخص النشاط التالي,ملخص النشاط التالي,matched-core,odoo-core,"commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Next Activity Type,نوع النشاط التالي,نوع النشاط التالي,matched-core,odoo-core,"commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Note,ملاحظة,الملاحظات,matched-core,odoo-core,"annual_leave,commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Notes,ملاحظات,الملاحظات,matched-core,odoo-core,"annual_leave,attendance_report,commissions,unpaid_leave",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
November,نوفمبر,نوفمبر,matched-core,odoo-core,"attendance_report,attendance_sheet,commissions",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Number of Actions,عدد الإجراءات,عدد الإجراءات,matched-core,odoo-core,"attendance_sheet,commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Number of Days,عدد الأيام,عدد الأيام,matched-core,odoo-core,payroll,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Number of errors,عدد الأخطاء,عدد الأخطاء,matched-core,odoo-core,"attendance_sheet,commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Number of Hours,عدد الساعات,عدد الساعات,matched-core,odoo-core,payroll,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Number of messages requiring action,عدد الرسائل التي تتطلب إجراءً,عدد الرسائل التي تتطلب اتخاذ إجراء,matched-core,odoo-core,"attendance_sheet,commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Number of messages with delivery error,عدد الرسائل ذات خطأ التسليم,عدد الرسائل الحادث بها خطأ في التسليم,matched-core,odoo-core,"attendance_sheet,commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
October,أكتوبر,أكتوبر,matched-core,odoo-core,"attendance_report,attendance_sheet,commissions",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
on,في,في,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Opening Balance,الرصيد الافتتاحي,الرصيد الافتتاحي,matched-core,odoo-core,ext_sync,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Operation,العملية,العملية,matched-core,odoo-core,payroll,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Options,خيارات,الخيارات,matched-core,odoo-core,annual_leave,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Other,أخرى | غير ذلك,غير ذلك,matched-core,odoo-core,"base_security,commissions,ext_sync",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Other Inputs,مدخلات أخرى,مدخلات أخرى,matched-core,odoo-core,payroll,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Overdue,متأخر,متأخر,matched-core,odoo-core,deduction,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Partner,الشريك,الشريك,matched-core,odoo-core,payroll,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Passport No,رقم جواز السفر,رقم جواز السفر,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Paternity Leave,إجازة أبوة,إجازة الأبوة,matched-core,odoo-core,leave_types,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Pay Slip,قسيمة المرتب,قسيمة المرتب,matched-core,odoo-core,"commissions,deduction,payroll",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Payment Date,تاريخ الدفع,تاريخ الدفع,matched-core,odoo-core,deduction,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Payments,المدفوعات,الدفعات,matched-core,odoo-core,ext_sync,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Period,الفترة,الفترة,matched-core,odoo-core,"annual_leave,commissions",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Print,طباعة,طباعة,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Priority,الأولوية,الأولوية,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Private City,مدينة خاصة,مدينة خاصة,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Private Country,الدولة خاصة,الدولة خاصة,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Private Email,بريد الكتروني خاص,بريد الكتروني خاص,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Private Phone,هاتف خاص,هاتف خاص,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Private State,الحالة الخاصة,الحالة الخاصة,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Private Street,الشارع خاص,الشارع خاص,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Private Street2,الشارع 2 خاص,الشارع 2 خاص,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Private Zip,رمز Zip خاص,رمز Zip خاص,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Quantity,الكمية,الكمية,matched-core,odoo-core,"commissions,payroll",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Ratings,التقييمات,التقييمات,matched-core,odoo-core,"attendance_sheet,commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Reason,السبب,السبب,matched-core,odoo-core,"commissions,deduction,payroll",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Reports,التقارير,التقارير,matched-core,odoo-core,deduction,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Request End Date,تاريخ نهاية الطلب,تاريخ نهاية الطلب,matched-core,odoo-core,annual_leave,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Request Start Date,تاريخ بداية الطلب,تاريخ بداية الطلب,matched-core,odoo-core,annual_leave,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Required,المطلوب,مطلوب,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Reset to Draft,إعادة إلى المسودة,إعادة التعيين كمسودة,matched-core,odoo-core,"commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Resource Working Time,فترة عمل المَورِد,فترة عمل المورد,matched-core,odoo-core,working_schedule,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Resource's Calendar,تقويم المَورِد,تقويم المورد,matched-core,odoo-core,working_schedule,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Responsible User,المستخدم المسؤول,المستخدم المسؤول,matched-core,odoo-core,"commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Revoke,إلغاء,إلغاء,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Role,الدور,الدور,matched-core,odoo-core,"commissions,unpaid_leave",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Rule,القاعدة,قاعدة,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Ruleset,مجموعة القواعد,مجموعة القواعد,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Salary Structure,هيكل المرتب,هيكل المرتب,matched-core,odoo-core,payroll,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Salary Structure Type,نوع هيكل الراتب,نوع هيكل الراتب,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Sales,المبيعات,المبيعات,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Saturday,السبت,السبت,matched-core,odoo-core,working_schedule,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Scheduled Pay,الدفع المجدول,الدفع المجدول,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Scope,النطاق,النطاق,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Self,الذاتية,ذاتي,matched-core,odoo-core,"annual_leave,commissions",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
September,سبتمبر,سبتمبر,matched-core,odoo-core,"attendance_report,attendance_sheet,commissions",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Sequence,الترتيب,تسلسل,matched-core,odoo-core,"annual_leave,commissions,deduction,working_schedule",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Service,الخدمة,الخدمة,matched-core,odoo-core,annual_leave,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
SMS Delivery error,خطأ تسليم الرسالة النصية,خطأ في تسليم الرسائل النصية القصيرة,matched-core,odoo-core,"attendance_sheet,commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Social Security Number,رقم الضمان الاجتماعي,رقم الضمان الاجتماعي,matched-core,odoo-core,"base_security,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Spouse Birthdate,تاريخ ميلاد الزوج/الزوجة,تاريخ ميلاد الزوج/الزوجة,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Spouse Legal Name,الاسم القانوني للزوج/الزوجة,الاسم القانوني للزوج/الزوجة,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
SSN No,رقم الضمان الاجتماعي,رقم الضمان الاجتماعي,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Start Date,تاريخ البدء,تاريخ البدء,matched-core,odoo-core,working_schedule,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Status,الحالة,الحالة,matched-core,odoo-core,"attendance_report,attendance_sheet,commissions,ext_sync,unpaid_leave",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Step,الخطوة,خطوة,matched-core,odoo-core,unpaid_leave,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Submit,إرسال,إرسال,matched-core,odoo-core,deduction,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Subtotal,المجموع الفرعي,الناتج الفرعي,matched-core,odoo-core,ext_sync,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Summary,الملخص,الملخص,matched-core,odoo-core,"attendance_report,attendance_sheet,commissions",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Sunday,الأحد,الأحد,matched-core,odoo-core,working_schedule,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Supporting Documents,المستندات الداعمة,المستندات الداعمة,matched-core,odoo-core,"annual_leave,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Taken,مُستهلَك,تم أخذها,matched-core,odoo-core,leave_types,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Target Line,بند الهدف,البند المستهدف,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Template,القالب,القالب,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
This Month,هذا الشهر,هذا الشهر,matched-core,odoo-core,ext_sync,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Thursday,الخميس,الخميس,matched-core,odoo-core,working_schedule,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Time Off Type,نوع الإجازة,نوع الإجازة,matched-core,odoo-core,"annual_leave,attendance_leave,eos_leave,leave_types,unpaid_leave",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Time Off Validation,تصديق الإجازة,تصديق الإجازة,matched-core,odoo-core,"annual_leave,unpaid_leave",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
To,إلى,إلى,matched-core,odoo-core,attendance_leave,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Today,اليوم,اليوم,matched-core,odoo-core,annual_leave,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Total,الإجمالي,الإجمالي,matched-core,odoo-core,"annual_leave,commissions,deduction,ext_sync,payroll",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Total number of allocations,إجمالي عدد المخصصات,إجمالي عدد المخصصات,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Tuesday,الثلاثاء,الثلاثاء,matched-core,odoo-core,working_schedule,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Type,النوع,النوع,matched-core,odoo-core,"commissions,deduction,ext_sync,payroll",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Usage,الاستخدام,الاستخدام,matched-core,odoo-core,annual_leave,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
User,المستخدم,المستخدم,matched-core,odoo-core,deduction,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Validation Type,نوع التصديق,نوع التصديق,matched-core,odoo-core,annual_leave,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Value,القيمة,القيمة,matched-core,odoo-core,payroll,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
VAT,ضريبة القيمة المضافة,ضريبة القيمة المضافة,matched-core,odoo-core,ext_sync,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Version,الإصدار,الإصدار,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Versions Count,عدد النسخ,عدد النسخ,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Visa Expiration Date,تاريخ انتهاء صلاحية التأشيرة,تاريخ انتهاء صلاحية التأشيرة,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Visa No,رقم التأشيرة,رقم التأشيرة,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Waiting For Me,بانتظاري,بانتظاري,matched-core,odoo-core,"annual_leave,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Website communication history,سجل تواصل الموقع,سجل تواصل الموقع الإلكتروني,matched-core,odoo-core,"attendance_sheet,commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Website Messages,رسائل الموقع,رسائل الموقع الإلكتروني,matched-core,odoo-core,"attendance_sheet,commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Wednesday,الأربعاء,الأربعاء,matched-core,odoo-core,working_schedule,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Wizard,المعالج,المعالج,matched-core,odoo-core,annual_leave,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Work Address,عنوان العمل,عنوان العمل,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Work Detail,تفاصيل العمل,تفاصيل العمل,matched-core,odoo-core,working_schedule,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Work Location,مكان العمل,مكان العمل,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Work Permit Expiration Date,تاريخ انتهاء تصريح العمل,تاريخ انتهاء تصريح العمل,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Work Permit No,رقم تصريح العمل,رقم تصريح العمل,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Working Hours,ساعات العمل,ساعات العمل,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Working Time,وقت العمل,وقت العمل,matched-core,odoo-core,working_schedule,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Year,السنة,السنة,matched-core,odoo-core,"attendance_report,attendance_sheet,commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Yes,نعم,نعم,matched-core,odoo-core,unpaid_leave,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
# ═══ [changed (auto)] تنظيف تلقائي (تشكيل/توحيد مفاهيم) ═══
"<span class=""fw-bold text-success"">Confirmed</span>","<span class=""fw-bold text-success"">مؤكَّد</span>","<span class=""fw-bold text-success"">مؤكد</span>",changed (auto),auto,payroll,
"<span class=""o_stat_text"">EOS Payslip</span>","<span class=""o_stat_text"">قسيمة نهاية الخدمة</span>","<span class=""o_stat_text"">كشف نهاية الخدمة</span>",changed (auto),auto,eos_leave,
"<span class=""o_stat_text"">Vacation Payslip(s)</span>","<span class=""o_stat_text"">قسيمة(قسائم) الإجازة</span>","<span class=""o_stat_text"">كشف(كشوف) الإجازة</span>",changed (auto),auto,payroll,
"<span style=""color:#6a1b9a;"">☑ Covered</span>","<span style=""color:#6a1b9a;"">☑ مغطى</span>","<span style=""color:#6a1b9a;"">☑ مشمول بإجازة</span>",changed (auto),auto,attendance_report,
<strong>Applicant</strong><br/>,<strong>مقدِّم الطلب</strong><br/>,<strong>مقدم الطلب</strong><br/>,changed (auto),auto,payroll,
<strong>Approved by Manager</strong>,<strong>اعتمد من قِبَل المدير</strong>,<strong>اعتمد من قبل المدير</strong>,changed (auto),auto,commissions,
<strong>Approved by</strong>,<strong>اعتُمد بواسطة</strong>,<strong>اعتمد بواسطة</strong>,changed (auto),auto,commissions,
<strong>Authorized Signature</strong>,<strong>التوقيع المفوَّض</strong>,<strong>التوقيع المفوض</strong>,changed (auto),auto,payroll,
<strong>Combined Leave</strong>,<strong>إجازة مركّبة</strong>,<strong>إجازة مركبة</strong>,changed (auto),auto,unpaid_leave,
<strong>Confirmed by</strong>,<strong>أُكِّد بواسطة</strong>,<strong>أكد بواسطة</strong>,changed (auto),auto,commissions,
<strong>Finalised by</strong>,<strong>أُنهي بواسطة</strong>,<strong>أنهي بواسطة</strong>,changed (auto),auto,commissions,
<strong>Payslip Name</strong>,<strong>اسم قسيمة الراتب</strong>,<strong>اسم كشف الراتب</strong>,changed (auto),auto,payroll,
<strong>Prepared by Supervisor</strong>,<strong>أُعدَّ من قِبَل المشرف</strong>,<strong>أعد من قبل المشرف</strong>,changed (auto),auto,commissions,
<strong>Printed on</strong>,<strong>طُبع في</strong>,<strong>طبع في</strong>,changed (auto),auto,commissions,
<strong>Reviewed by Accountant</strong>,<strong>روجِع من قِبَل المحاسب</strong>,<strong>روجع من قبل المحاسب</strong>,changed (auto),auto,commissions,
<strong>Unpaid Portion</strong>,<strong>الجزء غير المدفوع</strong>,<strong>الجزء بدون أجر</strong>,changed (auto),auto,unpaid_leave,
Accounting Approver,مُعتمِد المحاسبة,معتمد المحاسبة,changed (auto),auto,"annual_leave,deduction",
Accounting Inputs — Unpaid Leave,مدخلات المحاسبة — الإجازة غير المدفوعة,مدخلات المحاسبة — الإجازة بدون أجر,changed (auto),auto,unpaid_leave,
Accounting — Unpaid Leave,المحاسبة — الإجازة غير المدفوعة,المحاسبة — الإجازة بدون أجر,changed (auto),auto,unpaid_leave,
Accounting: Budget confirmed,المحاسبة: الموازنة مؤكَّدة,المحاسبة: الموازنة مؤكدة,changed (auto),auto,deduction,
Achieved Amount (auto),المبلغ المحقَّق (تلقائي),المبلغ المحقق (تلقائي),changed (auto),auto,commissions,
Achieved Collection,التحصيل المحقَّق,التحصيل المحقق,changed (auto),auto,commissions,
Achieved Sales,المبيعات المحقَّقة,المبيعات المحققة,changed (auto),auto,commissions,
Active Deductions,الخصومات الفعّالة,الخصومات الفعالة,changed (auto),auto,deduction,
Active Deductions Breakdown,تفاصيل الخصومات الفعّالة,تفاصيل الخصومات الفعالة,changed (auto),auto,deduction,
Active Deductions Only,الخصومات الفعّالة فقط,الخصومات الفعالة فقط,changed (auto),auto,deduction,
Active Portfolio,المحفظة الفعّالة,المحفظة الفعالة,changed (auto),auto,deduction,
Advance GOSI (Paid Vacation Months),مقدَّم التأمينات (أشهر الإجازة المدفوعة),مقدم التأمينات (أشهر الإجازة المدفوعة),changed (auto),auto,payroll,
Advance HRA (Paid Vacation Months),مقدَّم بدل السكن (أشهر الإجازة المدفوعة),مقدم بدل السكن (أشهر الإجازة المدفوعة),changed (auto),auto,payroll,
Annual + Unpaid Leave — Approval Report,الإجازة السنوية + غير المدفوعة — تقرير الاعتماد,الإجازة السنوية + بدون أجر — تقرير الاعتماد,changed (auto),auto,unpaid_leave,
Approver,المُعتمِد,المعتمد,changed (auto),auto,unpaid_leave,
Assigned Employees,الموظفون المعنيّون,الموظفون المعنيون,changed (auto),auto,commissions,
Attendance Sheet Count,عدد كشوف الحضور,عدد كشوف الحضور والانصراف,changed (auto),auto,attendance_sheet,
Attendance Sheet Daily Line,البند اليومي لكشف الحضور,البند اليومي لكشف الحضور والانصراف,changed (auto),auto,"attendance_sheet,unpaid_leave",
Attendance Sheet Employees,موظفو كشف الحضور,موظفو كشف الحضور والانصراف,changed (auto),auto,attendance_sheet,
Attendance Sheet Impact,أثر كشف الحضور,أثر كشف الحضور والانصراف,changed (auto),auto,annual_leave,
Attendance Sheet Update on Annual Leave DM Approval,تحديث كشف الحضور عند اعتماد المدير المباشر للإجازة السنوية,تحديث كشف الحضور والانصراف عند اعتماد المدير المباشر للإجازة السنوية,changed (auto),auto,annual_leave,
Auto Generated,مولَّد تلقائياً,مولد تلقائيا,changed (auto),auto,attendance_sheet,
BAS SQL Server Connector,موصّل SQL Server لـ BAS,موصل SQL Server ل BAS,changed (auto),auto,ext_sync,
"Base EOS — Resignation (Art. 85, Unadjusted)",نهاية الخدمة الأساسية — استقالة (المادة 85، غير معدَّلة),نهاية الخدمة الأساسية — استقالة (المادة 85، غير معدلة),changed (auto),auto,"annual_leave,eos_leave",
"Base EOS — Termination (Art. 84, Unadjusted)",نهاية الخدمة الأساسية — إنهاء عقد (المادة 84، غير معدَّلة),نهاية الخدمة الأساسية — إنهاء عقد (المادة 84، غير معدلة),changed (auto),auto,"annual_leave,eos_leave",
Base Service Years (Unadjusted),سنوات الخدمة الأساسية (غير معدَّلة),سنوات الخدمة الأساسية (غير معدلة),changed (auto),auto,"annual_leave,eos_leave",
Borrowed,مُقترَض,مقترض,changed (auto),auto,deduction,
Borrowed (with employee consent),مُقترَض (بموافقة الموظف),مقترض (بموافقة الموظف),changed (auto),auto,deduction,
Collected By,حُصِّل بواسطة,حصل بواسطة,changed (auto),auto,deduction,
Collection Achieved,التحصيل المحقَّق,التحصيل المحقق,changed (auto),auto,commissions,
Collection Based on Total,التحصيل بناءً على الإجمالي,التحصيل بناء على الإجمالي,changed (auto),auto,commissions,
Collector,المحصِّل,المحصل,changed (auto),auto,commissions,
Currently At,حالياً عند,حاليا عند,changed (auto),auto,annual_leave,
Currently On Vacation,في إجازة حالياً,في إجازة حاليا,changed (auto),auto,annual_leave,
Disbursement Confirmed By,أُكِّد صرف القرض بواسطة,أكد صرف القرض بواسطة,changed (auto),auto,deduction,
Done (Finalised),منجز (مُنهَى),منجز (منهى),changed (auto),auto,commissions,
Done By,أُنجز بواسطة,أنجز بواسطة,changed (auto),auto,commissions,
Early (min),خروج مبكر (دقيقة),انصراف مبكر (دقيقة),changed (auto),auto,payroll,
Early Leave Minutes (Net),دقائق الخروج المبكر (صافي),دقائق الانصراف المبكر (صافي),changed (auto),auto,attendance_leave,
GM Approver,مُعتمِد المدير العام,معتمد المدير العام,changed (auto),auto,annual_leave,
GM Final Approved By,اعتمده المدير العام نهائياً,اعتمده المدير العام نهائيا,changed (auto),auto,annual_leave,
GM Final Approver,مُعتمِد المدير العام النهائي,معتمد المدير العام النهائي,changed (auto),auto,deduction,
GM Initial Approved By,اعتمده المدير العام أولياً,اعتمده المدير العام أوليا,changed (auto),auto,annual_leave,
GM: Return Annual Leave to Approver,المدير العام: إعادة الإجازة السنوية إلى مُعتمِد سابق,المدير العام: إعادة الإجازة السنوية إلى معتمد سابق,changed (auto),auto,annual_leave,
HR Confirmed By,أكّدته الموارد البشرية,أكدته الموارد البشرية,changed (auto),auto,annual_leave,
HR: No pending penalties on this employee,الموارد البشرية: لا توجد غرامات معلّقة على هذا الموظف,الموارد البشرية: لا توجد غرامات معلقة على هذا الموظف,changed (auto),auto,deduction,
I'll Update Manually,سأقوم بالتحديث يدويًا,سأقوم بالتحديث يدويا,changed (auto),auto,annual_leave,
Is Locked,مُجمَّد,مجمد,changed (auto),auto,commissions,
Is Unpaid Leave Type,نوع إجازة غير مدفوعة,نوع إجازة بدون أجر,changed (auto),auto,unpaid_leave,
Kawthar (Itqan) Payroll Card File Generator,مولّد ملف بطاقة كوثر (إتقان) للرواتب,مولد ملف بطاقة كوثر (إتقان) للرواتب,changed (auto),auto,payroll,
KSW Salesperson Monthly Target,هدف المندوب الشهري KSW,هدف مندوب المبيعات الشهري KSW,changed (auto),auto,commissions,
